artist,track,album,album_type,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,title,channel,views,likes,comments,licensed,official_video,stream,energy_liveness,most_played_on
Taylor Swift,Shape of You,Midnights,single,0.3204,0.2256,-18.0526,0.3755,0.5454,0.472394,0.077,0.1371,92.573,4.8111,Shape of You,Tidal,2148200829.0,47075122,1142925,False,True,1854001193,2.9299,Youtube
Bad Bunny,Blinding Lights,YHLQMDLG,single,0.1058,0.8252,-6.7354,0.1833,0.1555,0.76577,0.3361,0.1363,73.54,6.1612,Blinding Lights,Tidal,2421481256.0,48981471,963583,True,False,2136108454,2.4552,Spotify
Dua Lipa,Gods Plan,Radical Optimism,single,0.6567,0.8755,-9.0303,0.3582,0.0458,0.182319,0.296,0.1242,92.591,2.0555,Gods Plan,Apple Music,1907235491.0,24493473,341210,False,False,2947382419,2.9578,Spotify
Billie Eilish,Bad Guy,Hit Me Hard and Soft,compilation,0.6832,0.6482,-16.7484,0.37,0.1634,0.303564,0.8911,0.6452,137.973,5.2654,Bad Guy,Spotify,2465496881.0,21179695,841403,False,True,1983753977,0.7274,Spotify
Bad Bunny,Positions,El Ultimo Tour Del Mundo,album,0.6899,0.4561,-2.6236,0.2402,0.2649,0.197302,0.5272,0.2943,141.842,6.438,Positions,SoundCloud,658352617.0,9293286,1068654,False,True,2554762903,0.8651,Spotify
Taylor Swift,Sunflower,Folklore,single,0.8129,0.4799,-18.793,0.2032,0.9961,0.423291,0.8754,0.8505,61.607,5.464,Sunflower,Tidal,800842157.0,43024218,713499,True,False,4224995600,0.5482,Youtube
Drake,Uptown Funk,Thank Me Later,album,0.7499,0.7477,-1.5341,0.3857,0.5077,0.085129,0.5815,0.8328,131.073,2.594,Uptown Funk,Apple Music,485066333.0,35601432,1926320,True,False,4274958945,1.2858,Youtube
Ed Sheeran,Levitating,Divide,compilation,0.8908,0.8485,-14.1572,0.0478,0.878,0.75756,0.1228,0.502,69.69,5.6833,Levitating,YouTube,1979422593.0,36906694,346396,False,False,1551437149,6.9096,Spotify
Dua Lipa,Dakiti,Dua Lipa Self-Titled,single,0.7417,0.4591,-7.2379,0.1992,0.8996,0.361189,0.2607,0.1095,62.945,4.5466,Dakiti,Tidal,22068922.0,47512401,1323618,True,True,1945826486,1.761,Spotify
Ed Sheeran,Watermelon Sugar,Subtract,album,0.3142,0.7021,-15.9295,0.0835,0.9355,0.456834,0.4518,0.7797,173.05,2.5473,Watermelon Sugar,Spotify,1293438022.0,28435880,862243,False,True,3830309370,1.554,Spotify
Ed Sheeran,Peaches,Equals,single,0.8205,0.1983,-16.3598,0.2774,0.1402,0.14679,0.4432,0.8633,70.554,5.9441,Peaches,Tidal,152239694.0,36288242,1753376,True,True,1420514789,0.4474,Spotify
Drake,Stay,Thank Me Later,album,0.2924,0.4609,-18.8859,0.2019,0.9853,0.212162,0.7165,0.4732,119.221,6.7652,Stay,Tidal,2155365622.0,10398239,398344,False,True,3842715617,0.6433,Spotify
Bad Bunny,Kiss Me More,El Ultimo Tour Del Mundo,single,0.7732,0.1514,-8.9006,0.2614,0.8527,0.125946,0.8667,0.1245,86.015,4.7727,Kiss Me More,YouTube,360099899.0,38240269,516451,True,True,2734202799,0.1747,Youtube
Bad Bunny,drivers license,El Ultimo Tour Del Mundo,single,0.9412,0.2838,-6.3924,0.1346,0.3958,0.537352,0.305,0.344,165.261,1.899,drivers license,SoundCloud,2995364095.0,6719628,153738,True,False,3667858669,0.9305,Spotify
Ariana Grande,montero,Thank U Next,compilation,0.4326,0.242,-4.1588,0.3577,0.6117,0.789786,0.6059,0.0573,174.395,3.1466,montero,Spotify,403306198.0,7756286,1865962,True,True,4771526597,0.3994,Youtube
Billie Eilish,Good 4 U,Hit Me Hard and Soft,album,0.4086,0.7187,-3.7947,0.2626,0.2511,0.726527,0.0932,0.6399,176.109,1.7425,Good 4 U,Apple Music,392893572.0,17589520,338961,False,False,837982963,7.7114,Spotify
